.NET技术	Microsoft .Net Technology
佛教与中国传统文化	Buddhism and Chinese Traditional Culture
服务管理	Service Management
服务计算研讨	Services Computing
服务质量管理	Service Quality Control
辐射测量与防护	Radiation Measurement and Protection
辐射测量与防护（B类）	Radiation Measurement and Protection
辐射与防护	Radiation and Defense
复变函数	Complex Analysis
复变函数	Complex-Variable Functions
复变函数（A类）	Complex Analysis
复变函数（B类）	Complex Analysis
复变函数及应用	Complex-Variable Functions and its Application
复变函数续论	Continuation of the Theory of Complex Analysis
复变函数续论（A）	Continuation of the Theory of Complex Analysis
复变函数与概率	Complex Analysis and Probability
复变函数与概率	Complex-Variable Functions and Probability
复变函数与积分变换	Complex-Variable Functions & Integral Transformation
复合材料	Composite Materials
复合材料学	Composite Materials
复杂系统的分析与建模	Analyzing and Modeling of Complex System
复杂系统动力学计算机辅助设计	Computer-aid Design of Dynamics of Complex System
复杂样品分离分析的制胜法宝	The key technology to separate and analyze the complex sample
傅立叶分析及其计算	Fourier Analysis and Its Application
傅立叶分析及其应用	Fourier Analysis and Its Application
改良性产品设计	Improved Production Design
概率论	Probability
概率论及其应用	Probability Theory and its Applications
概率论与数理统计	Probability and Mathematical Statistics
概率论与数理统计（A类）	Probability and Mathematical Statistics
概率论与数理统计（B类）	Probability and Mathematical Statistics
概率统计及其应用	Probability and Statistics & Application
概率统计应用	Application of Probability and Statistics
概念性产品设计	Notional Production Design
钢笔风景画法	Pen Drawing Brushwork
钢笔写生画法	Pen Drawing Brushwork
钢结构	Steel Structure
钢结构	Steel Structures
钢结构基本原理	Basic Principles of Steel Structure
钢结构课程设计	Course Project of Steel Construction
钢结构课程设计	Curriculum Design of Steel Structure
钢结构设计	Steel Structure Design
钢筋混凝土结构	Reinforced Concrete Structure
钢筋混凝土结构设计	Design on Reinforced Concrete Structure
钢筋混凝土课程设计	Cousr Design on Reinforced Concrete
钢筋砼及砌体结构	Reinforce Concrete Structure
钢筋砼及砌体结构	Reinforced Concrete Structures
钢筋砼及砌体结构（1）	Reinforced Concrete Structures I
钢筋砼及砌体结构（2）	Reinforced Concrete Structures II
钢筋砼及砌体结构(二)	Reinforced Concrete Structures II
钢筋砼及砌体结构(一)	Reinforced Concrete Structures I
钢筋砼及砌体结构原理	Reinforced Concrete Structures Theory
钢筋砼课程设计（1）	Project of Reinforced Concrete Structure I
钢筋砼课程设计(2)	Project of Reinforced Concrete Structure II
钢琴即兴伴奏入门	Piano Vamping
钢琴演奏初级与乐理	Pianoforte Performance and Music Theory
钢琴音乐	Music of Pianoforte
港工结构设计计算	Calculation and Design of Structures in Harbor Engineering
港工结构设计计算	The Calculation of Design on Structure of Harbor Engineering
港航仿真学	Harbor and Navigation Simulation
港航工程项目评估	Project Assessment in Harbor & Waterway Engineering
港航工程项目评估	Project Assessment in Harbor and Waterway engineering
港口管理	Harbor Management
港口管理	Port and Harbor Management
港口规划与布置	Harbor Planning and Arrangement
港口规划与布置	Port Planning & Arrangement
港口航道与海岸工程前沿	"Frontiers of Harbor, Waterway and Coastal Engineering"
港口航道专业实习	Professional Practice
港口水工建筑物	Harbor Marine Structures
港口水工建筑物（A类）	Harbor Marine Structures
港口与海岸工程	Harbor and Seablard Engineering
港口与海岸工程导论	Introduction to Harbor and Coastal Engineering
港口与海岸工程前沿	Frontiers of Harbor and Coastal Engineering
港口与海岸工程数学模拟技术	Mathematical Simulation Technology in Harbor and Seablard Engineering
港台文学欣赏	Literature Appreciation
高层建筑	Skyscraper Architecture
高层建筑结构	Structural Design of Skyscraper Architecture
高层建筑结构设计	Structural Design of Skyscraper Architecture
高层建筑设计原理	Principles of Skyscraper Architecture Design
高层建筑学	Skyscraper Architecture
高等代数	Advanced Algebra
高等代数(二)	Advanced Algebra II
高等代数（联读班A类）（1）	Advanced Mathematics I
高等代数（联读班A类）（2）	Advanced Mathematics II
高等代数（联读班B类）（1）	Advanced Mathematics I
高等代数（联读班B类）（2）	Advanced Mathematics I
高等代数(提前）	Advanced Algebra (In Advance)
高等代数(一)	Advanced Algebra I
高等代数与解析几何（1）	Analytic Geometry and Advanced Algebra I
高等代数与解析几何（2）	Analytic Geometry and Advanced Algebra II
高等电子测量	Advanced Electronic Measurement Techniques
高等电子测量技术	Advanced Electronic Measurement Techniques
高等动力学	Advanced Dynamics
高等光学	Advanced Optics
高等机械工程设计	Advanced Mechanical Engineering Design
高等教育专题	Higher Education Studies
高等流体力学	Advanced Fluid Mechanics
高等数学	Advanced Mathematics
高等数学（2）	Advanced Mathematics II
高等数学（A）（1）	Advanced Mathematics I
高等数学（A）（2）	Advanced Mathematics II
高等数学（A类）（1）	Advanced Mathematics I
高等数学（A类）（2）	Advanced Mathematics II
高等数学（B类）（1）	Advanced Mathematics I
高等数学（B类）（2）	Advanced Mathematics II
高等数学（C类）（1）	Advanced Mathematics I
高等数学（C类）（2）	Advanced Mathematics II
高等数学（D类）（1）	Advanced Mathematics I
高等数学（D类）（2）	Advanced Mathematics II
高等数学（E类）（1）	Advanced Mathematics I
高等数学（E类）（2）	Advanced Mathematics II
高等数学（E类）（3）	Advanced Mathematics III
高等数学（E类）（4）	Advanced Mathematics IV
高等数学（F）（1）	Advanced Mathematics I
高等数学（F）（2）	Advanced Mathematics II
高等数学（F类）（1）	Advanced Mathematics I
高等数学（F类）（2）	Advanced Mathematics II
高等数学（G类）（1）	Advanced Mathematics I
高等数学（H类）（1）	Advanced Mathematics I
高等数学（H类）（2）	Advanced Mathematics I
高等数学(二)	Advanced Mathematics II
高等数学（二）（含复变函数）	Advanced Mathematics II
高等数学（含数学软件）	Advanced Mathematics
高等数学(一)	Advanced Mathematics I
高等数学（一）（含复变函数）	Advanced Mathematics I
高等数学(一)(含实验)	Advanced Mathematics I
高等数学2	Advanced Mathematics II
高等数学A1	Applied Calculus II
高等数学A2	Applied Calculus III
高等数学B1	Honors Mathematics II
高等数学B2	Honors Mathematics III
高等植物中的信号转导	Signal Transduction in Higher Plants
高电压试验技术	High Voltage Testing Technology
高电压试验技术	High-Voltage Testing Technology
高尔夫	Introduction of Golf
高分子材料	Polymer Material
高分子材料(B类）	Research Methods of Polymer Science
高分子材料基础	Polymer Material Fundamentals
高分子材料阻燃与技术	Polymer Flame Resistant Material and Technology
高分子化学	Polymer Chemistry
高分子化学(B类）	Polymer?Chemistry
高分子化学与物理	Polymer Chemistry & Physics
高分子科学导论	Introductory Polymer Science
高分子科学进展	Advances in Polymer Science
高分子科学实验	Polymer Science Experiment
高分子物理	Polymer Physics
高分子物理(B类）	Polymer Physics
高分子研究方法	Research Methods of Polymer Science
高分子研究方法(B类）	Research Methods of Polymer Science
高跟鞋踩碎小猫脑袋：多学科的法律分析	Multi-discipline Analysis of Law
高级财务会计	Advanced Financial Accounting
高级德语（1）	Advanced German I
高级德语（2）	Advanced German II
高级德语（3）	Advanced German III
高级计算机系统结构	Advanced Computer System Architecture
高级氧化技术	Advanced Oxidation Technology
高级英汉互译	Advanced English-Chinese Translation
高级英语视听	Advanced Audiovisual English
高级英语视听（1）	Advanced English Listening Ⅰ
高级英语视听（2）	Advanced English Listening Ⅱ
高级英语文选	Advanced English Reading
高级英语文选（1）	Advanced English Reading I
高级英语文选（2）	Advanced English Reading II
